vinho,preço,comentário_do_sommelier,uva,país,região,classificação,vinícola,teor_alcoólico,temperatura_de_serviço,olfativo,visual,gustativo,harmonização
Arya Tinto 2021 Lata 269 mL,23.41,arya acaba vez qualquer preconceito ainda possa existir vinho lata produzido serra gaúcha vinho desenvolvido diego arrebola eleito vezes melhor sommelier brasil exemplar surpreende nariz boca envolve faz querer dar próximo gole,merlot pinot noir cabernet franc cabernet sauvignon,brasil,serra gaúcha,seco,arya wines,12.5,15.0,frutado sobretudo frutas vermelhas ameixas cerejas frescas floral sutis notas especiarias,rubi,corpo leve médio frutado frescor elegância nota ervas aromáticas sabor residual agradável taninos macios bem integrados,embutidos massas molho vermelho risotos queijo carnes magras grelhadas pizza calabresa hambúrguer bacon
Arya Rosé 2021 Lata 269 mL,23.41,rosé produzido uvas serra gaúcha campanha delicada extração cor máxima expressão aromática vinho qualidade surpreende apresentação exemplar encanta desde aromas envolve ainda paladar,pinot noir merlot trebbiano,brasil,serra gaúcha,seco,arya wines,11.0,8.0,frutas vermelhas especialmente morangos maduros cítricos notas florais rosas,rosa cereja pálido,fresco delicado suculento frutado cremoso equilibrado longa persistência,versátil funcionando aperitivos entradas embutidos frios saladas pratos vegetarianos ratatouille peixes alguma gordura salmão pirarucu carne suína
Paine Cabernet Sauvignon 2021 375 mL,32.82,essencialmente frutado leve vinho idealizado apreciado compromisso apreciando momento companhias acompanhando petiscos pratos refeições informais nome referência paine national park engloba florestas antigas montanhas glaciares lagos rios patagônia chilena vinho leve perfil fácil agradável,cabernet sauvignon,chile,valle central,seco,vyf wines,13.0,16.0,aromas frutas negras vermelhas herbáceo,rubi,vinho jovem leve frutado sutis notas herbáceas taninos macios acidez agradável,opte pratos leves carnes magras molhos base tomate especiarias queijos dicas iscas contrafilé aceboladas hambúrguer bacon espaguete sugo
Viña Carrasco D.O. Valle Central Rosé 2021,38.71,cabernet sauvignon merlot uvas presentes neste vinho rosé exemplar passa amadurecimento tanques inox ajuda preservar características naturais uva rosé leve refrescante apresenta aromas frutas vermelhas ideal momentos descompromissados acompanhar pratos frutos mar saladas,cabernet sauvignon merlot,chile,valle central,seco,luis felipe edwards,12.0,9.0,intensos aromas frutas vermelhas frescas morango framboesa,,jovem leve frutado acidez agradável refrescante,espaguete camarão risoto palmito raspas limão siciliano salada grão bico atum grelhado frutos mar
Pueblo del Sol Tannat Rosé 2021,46.94,rosé uruguai elaborado emblemática casta país tannat uvas colhida manualmente cachos ainda vinhedo garantir cepas saudáveis vinho bom corpo frutado refrescante revela características potente tannat vinho rosé,tannat,uruguai,canelones,seco,pueblo del sol,12.0,9.0,frutas vermelhas fresca morango cereja,rosa claro,vinho jovem leve frutado macio acidez agradável refrescante,salada frutos mar frango vinagrete morango risoto tomate seco sushi quiche abóbora carne seca
Baron Philippe de Rothschild Cabernet Sauvignon Carménère 2021,41.06,elaborado renomada vinícola baron philippe rothschild vinícola vinhas chile frança desenvolve vinhos reconhecidos equilíbrio qualidade autenticidade linha traz expertise enólogos desde seleção cuidadosa uvas produção vinhos perfil moderno expressivamente frutados elegantes estilo indicado dia dia momentos descontraídos acompanhar pratos descomplicados vinho mescla duas uvas tintas representativas chile cabernet sauvignon carménère vinho frutado elegante agradável frescor vinícola ganhou certificado vinícola sustentável devido ações tomadas reduzir resíduos ambiente,cabernet sauvignon carménère,chile,valle central,seco,baron philippe de rothschild,13.0,16.0,frutas pretas ameixa groselha amora notas especiarias toque herbáceo,rubi,vinho jovem corpo médio frutado taninos macios acidez média,opte pratos média estrutura carnes vermelhas assadas cozidas carnes brancas intensas molhos base tomate especiarias queijos dicas macarrão bolonhesa escondidinho carne batata recheada queijo cogumelo
Viña Carrasco D.O. Valle Central Carménère 2022,38.71,carménère uva emblemática chile fácil beber harmonizar integra linha viña carrasco desenvolvida premiada vinícola luis felipe edwards viña luis felipe edwards comprometida cuidado meio ambiente desenvolvimento econômico sustentável tendo especial cuidado uso gestão racional recursos naturais minimizando assim desperdícios impactos socioambientais estilo descomplicado carménère agrada facilidade versatilidade momentos harmonizações vinhos adequados veganos,carménère,chile,valle central,seco,luis felipe edwards,13.5,16.0,frutas pretas cereja especiarias toque herbáceo,rubi,vinho jovem corpo leve médio frutado taninos macios acidez média,opte pratos estrutura leve média carnes vermelhas assadas cozidas carnes brancas intensas molhos base tomate especiarias queijos dicas pimentão recheado carne filé fritas almôndegas soja
Finca Dorada Selección Especial Merlot 2021,38.71,tinto fácil beber ideal consumido dia dia acompanhar receitas cotidianas happy hour amigos simplesmente filme exemplar elaborado vale central chileno vinícola viñedos y frutales vyf top maiores vinícolas chilenas exportações primeiras vinícolas chilenas receber certificado vinícola sustentável vinhos chile vinho leve descontraído,merlot,chile,valle central,seco,vyf wines,13.0,15.0,frutas vermelhas ameixa cereja tabaco,rubi,vinho jovem leve frutado taninos macios acidez agradável,opte pratos estrutura leve mediana carnes vermelhas magras carnes brancas molhos base tomate queijos dicas quibe frito carne panela legumes espaguete abobrinha sugo
Frisante Pontebello Lambrusco I.G.T. dellEmilia Bianco Amabile,38.71,exemplar frisante significa possui menos gás espumante elaborado itália uva lambrusco gera vinhos leves doçura aparente vinho leve frutado refrescante dulçor aparente ideal momentos leves descontraídos,lambrusco,itália,emiliaromagna,suave/doce,medici ermete wines,80.0,7.0,frutas brancas frescas,amarelo claro,frutado leve acidez sutil agradável doçura discreta refrescante,vinho leve dulçor aparente harmoniza comidas apimentadas agridoces dicas peixe molho curry espetinho frango molho picante quiche tomate seco alho poró dadinhos tapioca geleia pimenta torta limão
Altos del Condor Blanco 2021,38.71,vinho leve frutado mescla uvas brancas chardonnay sauvignon blanc torrontés cultivadas terroir argentino jovem fácil beber pode apreciado sozinho combinado petiscos entradas pratos principais leves,chardonnay sauvignon blanc torrontés,argentina,mendoza,seco,grupo peñaflor,12.5,9.0,frutas brancas amarelas frescas floral cítrico,amarelo claro,jovem frutado leve acidez equilibrada refrescante,vinho jovem leve refrescante harmonize pratos leves dica legumes grelhados saladas tomates recheados iscas peixe empanado espaguete molho branco bruschettas
